Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,43420,"Sierra Vista-Douglas, AZ",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,47550.000000,0.0000,-0.2679,610.00000,0.0000,-0.3705,77.86885245901600,0.0000,0.1626,3.0,0.0000,2.0000,0.3333,,,188.00,31.50,0.2013,137.00,2.6863,0.0,,,0.0,,,0.0,,,1.0,,,4.0,0.3333,3.0000,0.3333,0.3333,0.3333,0.4118,23.0000,-0.0769,5.0000,1,0
201804,21780,"Evansville, IN-KY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,37500.000000,-0.4226,-0.4639,617.00000,-0.3415,-0.2663,60.69692058346800,-0.1237,-0.3022,1.0,,-0.6667,1.5000,,0.5000,5.50,-57.50,-0.9127,-12.50,-0.6944,4.0,,,0.0,,,0.0,,,0.0,,,1.0,,-0.6667,0.0000,,0.0000,2.8500,-0.7027,,0.2759,0,0
201804,36020,"Oak Harbor, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,159050.000000,-0.0245,,840.00000,0.0000,,189.28571428571400,-0.0246,,1.0,0.0000,,0.0000,,,249.00,31.50,0.1448,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.0870,,-0.0870,,0,0
201804,15580,"Butte-Silver Bow, MT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,195050.000000,0.0000,0.3086,820.00000,0.0000,0.1566,245.05033569903650,0.0000,0.1660,2.0,0.0000,1.0000,0.0000,,-1.0000,367.00,31.50,0.0939,363.00,90.7500,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,2.0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.4857,-0.8364,-0.4857,-0.8364,0,0
201804,15980,"Cape Coral-Fort Myers, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,149500.000000,0.0086,0.1070,685.50000,-0.0033,0.0111,227.08138992537250,0.0166,0.1942,231.0,-0.0274,-0.0494,0.1948,-0.2476,0.1005,73.00,10.75,0.1727,-16.00,-0.1798,44.0,-0.2903,-0.0833,4.0,1.0000,,48.0,0.1429,0.0000,62.0,0.0000,0.1923,293.0,-0.0217,-0.0068,0.2684,0.0073,0.0544,-0.1885,0.0929,-0.1881,0.1389,0,0
201804,17200,"Claremont-Lebanon, NH-VT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,84750.000000,0.1035,0.2363,720.00000,0.0000,-0.0270,132.20588235294100,0.0388,0.3617,90.0,-0.0426,-0.0217,0.1222,-0.2585,0.2494,226.50,-4.00,-0.0174,39.50,0.2112,16.0,0.6000,0.3333,0.0,,,4.0,-0.6000,0.0000,1.0,0.0000,-0.9000,91.0,-0.0421,-0.1078,0.0111,0.0005,-0.0976,-0.3176,0.4737,-0.2857,0.5000,0,0
201804,13780,"Binghamton, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,279050.000000,0.0000,-0.0669,1744.00000,0.0122,0.0247,159.97706422018300,-0.0122,-0.0894,1.0,-0.5000,0.0000,0.0000,,,160.00,-108.00,-0.4030,85.00,1.1333,0.0,,,0.0,,,0.0,,,0.0,,,1.0,-0.5000,0.0000,0.0000,0.0000,0.0000,-0.5185,0.0833,0.3077,0.4167,0,0
201804,19660,"Deltona-Daytona Beach-Ormond Beach, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,150045.000000,0.0471,0.2604,693.00000,0.0095,0.0221,209.77777777777700,0.0264,0.1793,197.0,0.0678,0.1867,0.2640,0.0149,0.0688,71.00,-10.75,-0.1315,-11.00,-0.1341,56.0,0.5556,0.2727,0.0,-1.0000,-1.0000,32.0,-0.3043,-0.1111,10.0,0.1111,-0.2308,207.0,0.0698,0.1564,0.0508,0.0020,-0.0276,0.0567,0.0773,0.0226,0.1148,0,0
201804,48580,"Whitewater-Elkhorn, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,95050.000000,-0.0206,0.0567,737.50000,0.0536,0.1523,147.84482758620600,-0.0063,-0.0205,53.0,0.1277,0.1522,0.2453,0.3567,-0.1939,116.00,-33.00,-0.2215,65.00,1.2745,12.0,0.2000,2.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,,53.0,0.1277,0.1522,0.0000,0.0000,0.0000,0.0622,0.2514,-0.0562,0.1053,0,0
201804,32740,"Meadville, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,48550.000000,0.0000,-0.1165,761.00000,0.0000,0.0340,63.73193166885600,0.0000,-0.1456,1.0,0.0000,0.0000,0.0000,,,97.00,31.50,0.4809,-15.00,-0.1339,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3433,-0.1852,-0.3433,-0.1852,0,0
