Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,45035,"Dorchester, SC",USA,Single Family Home,bdrs_5+,424800.000000,0.0068,0.1065,3505.00000,-0.0067,-0.1429,114.73737888832200,0.0583,0.1086,32.0,0.1852,0.6000,0.2500,2.3783,-0.2856,108.00,5.25,0.0511,76.00,2.3750,8.0,1.0000,1.0000,4.0,1.0000,,4.0,-0.3333,0.0000,0.0,,,32.0,0.1852,0.6000,0.0000,0.0000,0.0000,0.1664,0.4203,-0.0192,-0.0893,0,0
201804,47037,"Davidson, TN",USA,Single Family Home,bdrs_5+,1750050.000000,0.0000,0.4000,5862.00000,-0.0020,-0.0895,282.96232283936700,0.0203,0.3247,46.0,0.1220,0.0952,0.3043,-0.1090,0.2780,54.50,-1.00,-0.0180,-14.50,-0.2101,12.0,-0.1429,0.0000,0.0,-1.0000,,8.0,1.0000,1.0000,0.0,,,46.0,0.1220,0.0952,0.0000,0.0000,0.0000,0.0985,0.6313,-0.0056,0.5299,0,0
201804,37053,"Currituck, NC",USA,Single Family Home,bdrs_5+,825050.000000,0.0116,-0.0048,3561.00000,-0.0077,-0.0504,234.82681919288200,0.0324,-0.0216,150.0,-0.0099,-0.0625,0.1400,-0.0134,-0.0667,153.00,-1.25,-0.0081,-26.00,-0.1453,12.0,-0.4545,-0.4000,0.0,,,16.0,-0.2000,-0.2000,20.0,0.2500,-0.2000,170.0,0.0149,-0.0811,0.1333,0.0277,-0.0229,-0.0291,-0.0414,0.0000,0.0000,0,0
201804,13039,"Camden, GA",USA,Single Family Home,bdrs_5+,350050.000000,0.0000,-0.3653,4209.00000,0.0000,-0.1895,83.15514373960500,0.0000,-0.2248,1.0,0.0000,-0.5000,0.0000,,-1.0000,62.00,10.50,0.2039,-108.00,-0.6353,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,-0.2231,-0.7565,-0.2231,-0.3472,0,0
201804,48427,"Starr, TX",USA,Single Family Home,bdrs_5+,175050.000000,0.0000,-0.2358,3205.00000,0.0000,-0.3837,54.60218408736300,0.0000,0.2398,1.0,0.0000,0.0000,0.0000,,,86.00,31.50,0.5780,36.50,0.7374,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3043,1.8571,-0.3043,1.6667,0,0
201804,16013,"Blaine, ID",USA,Single Family Home,bdrs_5+,4385050.000000,-0.0363,-0.0254,7500.00000,-0.0113,0.0669,653.33333333333300,-0.0335,0.0878,33.0,-0.0435,0.0313,0.0303,,-0.6770,245.00,10.00,0.0426,9.50,0.0403,0.0,,,0.0,,,0.0,-1.0000,,2.0,-0.4286,,35.0,-0.0789,0.0938,0.0606,-0.0408,0.0606,-0.1717,0.1487,-0.1304,0.1111,0,0
201804,48455,"Trinity, TX",USA,Single Family Home,bdrs_5+,695050.000000,0.0000,4.0715,4200.00000,0.0000,0.3505,165.47619047619000,0.0000,2.7028,1.0,0.0000,-0.5000,0.0000,,,493.00,31.50,0.0683,314.00,1.7542,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,-0.5000,0.0000,0.0000,0.0000,0.3636,-0.8729,0.3636,-0.7458,0,0
201804,21095,"Harlan, KY",USA,Single Family Home,bdrs_5+,129950.000000,-0.1323,-0.6002,1800.00000,0.0000,-0.5997,72.16666666666600,-0.1324,-0.0015,1.0,0.0000,0.0000,0.0000,,,220.50,35.00,0.1887,-821.50,-0.7884,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,-0.0455,1.0400,0.1591,0,0
201804,48343,"Morris, TX",USA,Single Family Home,bdrs_5+,289550.000000,0.0000,0.1580,3324.00000,0.0000,-0.1477,87.09386281588400,0.0000,0.3586,1.0,0.0000,0.0000,0.0000,,,168.00,31.50,0.2308,-5.00,-0.0289,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1014,6.7500,-0.1014,6.7500,0,0
201804,54005,"Boone, WV",USA,Single Family Home,bdrs_5+,592450.000000,1.9630,-0.1766,5395.00000,0.0000,-0.0345,96.03042822480100,0.0000,-0.1475,1.0,-0.6667,-0.5000,0.0000,,,525.00,272.50,1.0792,249.00,0.9022,0.0,,,0.0,,,0.0,,,0.0,,,1.0,-0.6667,-0.5000,0.0000,0.0000,0.0000,-0.2661,0.8182,0.3000,1.3636,0,0
201804,31043,"Dakota, NE",USA,Single Family Home,bdrs_5+,280050.000000,0.0000,,4176.00000,0.0000,,67.04980842911800,0.0000,,1.0,0.0000,,0.0000,,,90.00,24.50,0.3740,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,,0.0000,0.0000,,-0.2426,,-0.2426,,0,0
201804,22057,"Lafourche, LA",USA,Single Family Home,bdrs_5+,269050.000000,0.0000,0.1695,,,,,,,1.0,0.0000,0.0000,0.0000,,,58.00,35.00,1.5217,-22.00,-0.2750,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.1099,0.5075,-0.0381,0.6032,0,1
