Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,45385,"Xenia, OH",Condo/Townhome/Row Home/Co-Op,*,195700.000000,0.6315,0.3051,0.5,-0.5000,,6.00,-0.8000,-0.9845,2.0,,,0.0,,,0.0,,,0.5,-0.6667,,195700.0000,0.6315,0.3051,1.0,-0.6000,,1.0000,-0.5000,
201804,45402,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,440000.000000,1.6518,1.1458,7.0,2.5000,-0.1250,21.00,-0.8623,-0.8562,0.0,,,0.0,,,0.0,,,1.0,-0.7500,,323568.0000,0.7377,0.3456,8.0,0.3333,0.0000,0.1429,-1.8571,0.1429
201804,45405,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,73550.000000,2.0267,1.4476,5.0,2.3333,0.6667,19.00,-0.6667,0.0000,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,51449.0000,0.9063,0.4798,5.0,2.3333,0.6667,0.0000,0.0000,0.0000
201804,45409,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,209950.000000,-0.1604,0.2493,4.0,-0.2000,-0.6667,85.50,-0.2692,0.3790,0.0,,-1.0000,0.0,,,0.0,,,0.0,-1.0000,,177170.0000,-0.1385,0.0776,4.0,-0.3333,-0.6667,0.0000,-0.2000,0.0000
201804,45414,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,149550.000000,1.7191,0.0310,4.0,1.0000,0.3333,38.00,0.1603,-0.6042,0.0,,,0.0,,,0.0,,,0.0,,,144525.0000,1.0669,-0.0104,4.0,1.0000,0.3333,0.0000,0.0000,0.0000
201804,45415,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,48300.000000,0.0052,-0.0720,4.0,0.3333,0.0000,61.00,0.6712,,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,53627.0000,0.1143,-0.2440,4.0,0.0000,0.0000,0.0000,-0.3333,0.0000
201804,45417,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,26550.000000,0.0000,,1.0,0.0000,,55.50,0.6087,,0.0,,,0.0,,,0.0,,,0.0,,,26550.0000,0.0000,,1.0,0.0000,,0.0000,0.0000,
201804,45419,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,52450.000000,0.1030,,1.0,0.0000,0.0000,130.00,0.2322,-0.5273,0.0,,,0.0,,,0.0,,,0.0,,,53883.0000,0.0417,-0.6207,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
201804,45424,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,93950.000000,-0.0208,,10.0,0.0000,-0.3750,76.50,0.2389,0.7386,4.0,1.0000,0.0000,0.0,,,0.0,-1.0000,-1.0000,2.0,3.0000,1.0000,92082.0000,0.0618,0.0258,12.0,0.1429,-0.2941,0.2000,0.1500,0.1375
201804,45426,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,45950.000000,-0.0437,0.6529,6.0,5.0000,,16.00,0.5238,-0.5616,0.0,-1.0000,-1.0000,0.0,,,0.0,,,1.0,0.0000,,45694.0000,-0.0611,0.4985,7.0,2.5000,0.4000,0.1667,-0.8333,0.1667
201804,45429,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,159050.000000,0.2279,,5.0,0.2500,-0.2857,40.00,-0.0588,-0.6396,0.0,,-1.0000,0.0,,,0.0,,-1.0000,4.0,0.6000,,201367.0000,0.2806,0.0450,9.0,0.3846,0.2857,0.8000,0.1750,0.8000
201804,45430,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,218120.000000,0.5309,0.8337,9.0,1.2500,2.0000,25.50,1.8333,-0.2273,8.0,1.0000,,0.0,,,0.0,,,1.0,1.0000,,179815.0000,0.2128,0.4875,10.0,1.2222,2.3333,0.1111,-0.0139,0.1111
201804,45431,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,179950.000000,-0.0630,,20.0,0.1765,-0.1667,47.00,0.1899,-0.1754,8.0,0.3333,-0.5000,0.0,,,4.0,-0.3333,,7.0,0.0000,6.0000,190088.0000,-0.0757,0.0050,27.0,0.1250,0.0800,0.3500,-0.0618,0.3083
201804,45434,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,*,74950.000000,-0.0266,,1.0,-0.3333,,94.00,-0.4107,,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,79950.0000,-0.0337,-0.3432,1.0,-0.6000,-0.7500,0.0000,-0.6667,0.0000
201804,45439,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,26550.000000,-0.0618,-0.1150,2.0,0.0000,-0.5000,336.00,0.1294,2.8182,0.0,,,0.0,,,0.0,,,0.0,-1.0000,,25850.0000,-0.1140,-0.1208,2.0,-0.2000,-0.5000,0.0000,-0.2500,0.0000
201804,45440,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,94450.000000,0.0000,-0.1009,11.0,0.2941,-0.3889,29.00,-0.0866,-0.1594,4.0,0.0000,-0.5000,0.0,,,0.0,,,2.0,0.0000,,88919.0000,-0.1011,-0.2195,13.0,0.2381,-0.2778,0.1818,-0.0535,0.1818
201804,45449,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,61550.000000,0.0353,0.0521,22.0,0.1000,-0.2667,65.50,0.6478,-0.2640,8.0,0.0000,0.0000,0.0,,,4.0,1.0000,0.0000,5.0,-0.0909,4.0000,65201.0000,-0.0021,0.1680,27.0,0.0588,-0.1290,0.2273,-0.0477,0.1939
201804,45458,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,144850.000000,-0.0062,0.2116,36.0,0.0746,-0.3455,39.00,0.5000,-0.0714,16.0,-0.3333,0.3333,0.0,,,8.0,-0.4286,-0.3333,18.0,0.3333,5.0000,154323.0000,0.0240,0.1838,54.0,0.1489,-0.0690,0.5000,0.0970,0.4455
201804,45459,"Dayton, OH",Condo/Townhome/Row Home/Co-Op,,138450.000000,0.0473,0.1080,24.0,-0.1111,-0.3684,29.50,0.3409,-0.0484,12.0,-0.3333,-0.4000,0.0,,,4.0,0.0000,0.0000,11.0,0.1000,4.5000,130621.0000,0.0802,0.0187,35.0,-0.0541,-0.1250,0.4583,0.0880,0.4057
201804,45502,"Springfield, OH",Condo/Townhome/Row Home/Co-Op,*,155050.000000,-0.0544,,7.0,3.6667,2.5000,23.00,-0.7659,0.7037,0.0,,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,151597.0000,0.0424,0.1450,7.0,1.0000,1.3333,0.0000,-1.3333,-0.5000
201804,45503,"Springfield, OH",Condo/Townhome/Row Home/Co-Op,,155550.000000,0.8786,0.9702,14.0,0.2727,0.0000,18.00,-0.5355,-0.5135,16.0,,3.0000,0.0,,,0.0,,,8.0,-0.0588,-0.1111,126927.0000,0.4493,0.2783,22.0,0.1282,-0.0435,0.5714,-0.2013,-0.0714
201804,45504,"Springfield, OH",Condo/Townhome/Row Home/Co-Op,*,94500.000000,0.1180,,4.0,1.6667,-0.3333,17.50,-0.9327,,0.0,,,0.0,,,0.0,,,3.0,0.0000,2.0000,98205.0000,-0.1116,0.1478,7.0,0.5556,0.0000,0.7500,-1.2500,0.5833
