Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-04-01 00:00:00,50014,"Ames, IA",*,327275.000000,-0.0210,-0.0144,127.0,0.1289,,58.00,-0.3390,0.2083,44.0,0.4667,0.3750,0.0,,-1.0000,24.0,1.0000,0.2000,15.0,0.5000,-0.4828,345325.0000,-0.0049,-0.1552,142.0,0.1592,0.1360,0.1181,0.0292,-0.1840
2018-04-01 00:00:00,50021,"Ankeny, IA",,299950.000000,0.0000,0.0000,152.0,-0.0703,-0.0380,78.00,-0.2334,0.0541,68.0,0.5455,-0.1053,0.0,,-1.0000,32.0,0.3333,-0.2000,125.0,0.1737,-0.1667,341679.0000,-0.0152,0.0305,277.0,0.0259,-0.1006,0.8224,0.1710,-0.1270
2018-04-01 00:00:00,50022,"Atlantic, IA",*,98800.000000,0.0395,,55.0,0.1340,,124.00,-0.0178,,16.0,1.0000,0.0000,0.0,,,8.0,0.0000,1.0000,4.0,0.1429,-0.7143,120117.0000,0.0215,-0.0148,59.0,0.1346,0.1132,0.0727,0.0006,-0.2862
2018-04-01 00:00:00,50023,"Ankeny, IA",*,305200.000000,0.0007,-0.0310,285.0,-0.0924,-0.1390,107.00,-0.0093,,68.0,-0.1053,-0.4333,12.0,0.2000,-0.2500,60.0,-0.1667,-0.1667,214.0,0.0620,-0.2746,308688.0000,-0.0005,-0.0687,499.0,-0.0320,-0.2029,0.7509,0.1092,-0.1404
2018-04-01 00:00:00,50035,"Bondurant, IA",,264950.000000,0.0307,0.0356,64.0,-0.0791,-0.2000,72.00,-0.2764,0.3211,20.0,0.4286,0.0000,4.0,1.0000,0.0000,8.0,0.3333,-0.3333,47.0,-0.0600,-0.0600,267661.0000,0.0092,0.0364,111.0,-0.0711,-0.1462,0.7344,0.0150,0.1094
2018-04-01 00:00:00,50036,"Boone, IA",,172950.000000,0.4185,0.1319,72.0,-0.1429,-0.0769,39.00,-0.5155,-0.3710,36.0,-0.1429,0.5000,0.0,,,24.0,-0.3684,0.5000,38.0,0.2258,0.0000,210757.0000,0.1202,0.1401,110.0,-0.0435,-0.0517,0.5278,0.1587,0.0406
2018-04-01 00:00:00,50047,"Carlisle, IA",,280050.000000,0.0002,0.0516,21.0,-0.0455,0.0000,129.00,0.0098,0.6329,8.0,3.0000,1.0000,0.0,,,4.0,0.0000,0.0000,13.0,1.0000,-0.1875,274619.0000,0.0051,-0.0502,34.0,0.1930,-0.0811,0.6190,0.3236,-0.1429
2018-04-01 00:00:00,50109,"Granger, IA",,276300.000000,0.0065,-0.0489,18.0,-0.1818,-0.4706,68.50,0.3838,-0.4476,4.0,1.0000,-0.5000,0.0,,,4.0,0.0000,,10.0,0.1111,-0.0909,289668.0000,0.0210,-0.0775,28.0,-0.0968,-0.3778,0.5556,0.1465,0.2320
2018-04-01 00:00:00,50111,"Grimes, IA",,303602.500000,-0.0012,-0.0717,164.0,0.0092,0.1714,103.00,-0.1159,0.1977,28.0,-0.0667,-0.3636,8.0,,1.0000,28.0,-0.2222,0.1667,86.0,0.3333,0.0617,322379.0000,-0.0028,-0.3983,250.0,0.1013,0.1312,0.5244,0.1275,-0.0542
2018-04-01 00:00:00,50112,"Grinnell, IA",*,165050.000000,0.0582,,95.0,0.1801,-0.0104,65.00,-0.4091,-0.0580,20.0,-0.1667,-0.1667,0.0,,,8.0,-0.2000,0.0000,12.0,0.1429,-0.3333,198827.0000,0.0366,-0.1319,107.0,0.1758,-0.0614,0.1263,-0.0041,-0.0612
