Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,21903,"Perryville, MD",Single Family Home,,225050.000000,-0.0425,-0.0215,37.0,0.1045,0.2759,60.00,-0.4702,0.0909,8.0,0.0000,0.0000,0.0,,,4.0,0.0000,0.0000,0.0,,-1.0000,270314.0000,-0.1056,0.0006,37.0,0.1045,0.1212,0.0000,0.0000,-0.1379
201804,21904,"Port Deposit, MD",Single Family Home,*,317050.000000,0.0000,-0.0941,15.0,0.3043,-0.1176,34.00,-0.4286,,8.0,0.3333,1.0000,0.0,,,4.0,1.0000,-0.5000,0.0,,-1.0000,293448.0000,-0.0019,-0.0284,15.0,0.3043,-0.2500,0.0000,0.0000,-0.1765
201804,21911,"Rising Sun, MD",Single Family Home,,300050.000000,0.0348,0.1325,31.0,0.1071,-0.2250,59.00,0.2103,0.1800,8.0,1.0000,-0.3333,0.0,,,8.0,1.0000,-0.3333,0.0,,-1.0000,279334.0000,-0.0486,0.0663,31.0,0.1071,-0.3261,0.0000,0.0000,-0.1500
201804,21915,"Chesapeake City, MD",Single Family Home,,262450.000000,-0.1358,-0.0936,13.0,0.7333,-0.5000,68.50,0.3564,-0.0552,4.0,1.0000,-0.6667,0.0,,,0.0,,-1.0000,0.0,,-1.0000,291103.0000,-0.1003,-0.4107,13.0,0.7333,-0.5185,0.0000,0.0000,-0.0385
201804,21918,"Conowingo, MD",Single Family Home,*,294950.000000,-0.0248,0.0786,26.0,0.0833,,149.00,-0.2837,-0.3422,4.0,,-0.5000,0.0,,,4.0,1.0000,,0.0,,-1.0000,290370.0000,-0.0506,0.0755,26.0,0.0833,-0.0714,0.0000,0.0000,-0.2174
201804,21919,"Earleville, MD",Single Family Home,,191800.000000,-0.0554,-0.2622,59.0,0.2553,0.0000,148.50,-0.0973,0.0385,16.0,1.0000,1.0000,0.0,,,8.0,3.0000,1.0000,0.0,,-1.0000,413375.0000,0.1356,-0.0376,59.0,0.2553,-0.0484,0.0000,0.0000,-0.0508
201804,21921,"Elkton, MD",Single Family Home,,264950.000000,-0.0187,-0.0505,195.0,0.0130,-0.1372,80.00,0.1594,0.2121,64.0,0.4545,-0.1579,12.0,,2.0000,36.0,0.0588,-0.3077,0.0,,-1.0000,299030.0000,-0.0274,-0.0226,195.0,0.0130,-0.2323,0.0000,0.0000,-0.1239
201804,22003,"Annandale, VA",Single Family Home,*,669050.000000,-0.0059,-0.0290,123.0,0.2880,,25.00,0.0638,0.3158,76.0,0.1875,0.1176,0.0,,,32.0,0.3333,0.3333,0.0,,-1.0000,716151.0000,-0.0176,-0.0593,123.0,0.2880,0.0603,0.0000,0.0000,-0.6812
201804,22015,"Burke, VA",Single Family Home,*,576494.000000,-0.1052,,107.0,1.3011,,17.50,0.0606,,96.0,1.4000,0.8462,4.0,,,12.0,0.0000,-0.2500,0.0,,-1.0000,616034.0000,-0.1159,-0.0649,107.0,1.3011,0.3718,0.0000,0.0000,-1.0526
201804,22025,"Dumfries, VA",Single Family Home,*,394950.000000,-0.0708,,87.0,0.6893,,24.00,-0.1028,,60.0,1.0000,1.5000,4.0,,,16.0,1.0000,1.0000,0.0,,-1.0000,403470.0000,-0.0435,-0.0790,87.0,0.6893,0.8511,0.0000,0.0000,-0.5161
201804,22026,"Dumfries, VA",Single Family Home,*,503540.000000,-0.0372,,74.0,0.3333,,26.00,-0.3376,,20.0,-0.1667,0.6667,0.0,-1.0000,-1.0000,16.0,1.6667,1.0000,0.0,,-1.0000,493705.0000,-0.0519,-0.0685,74.0,0.3333,0.6444,0.0000,0.0000,-0.2857
201804,22030,"Fairfax, VA",Single Family Home,*,749950.000000,-0.1244,,163.0,0.6891,,31.00,-0.0388,,72.0,0.2857,0.1250,4.0,1.0000,0.0000,32.0,0.6000,-0.2000,0.0,,-1.0000,843363.0000,-0.0557,-0.0678,163.0,0.6891,0.2164,0.0000,0.0000,-0.3958
201804,22031,"Fairfax, VA",Single Family Home,,739950.000000,-0.0387,-0.0750,63.0,1.1724,0.7500,23.00,0.2958,0.3143,36.0,0.5000,0.5000,0.0,,,8.0,0.3333,-0.3333,0.0,,-1.0000,767828.0000,-0.0855,-0.0684,63.0,1.1724,0.2115,0.0000,0.0000,-0.4444
201804,22032,"Fairfax, VA",Single Family Home,,627450.000000,-0.0238,-0.0265,90.0,0.1842,0.4063,25.00,0.0417,0.1364,52.0,0.0833,0.0833,0.0,,,20.0,0.1111,-0.3750,0.0,,-1.0000,687003.0000,-0.0589,-0.0221,90.0,0.1842,-0.0625,0.0000,0.0000,-0.5000
201804,22033,"Fairfax, VA",Single Family Home,*,619050.000000,-0.2519,-0.1157,78.0,1.4375,,22.50,0.3235,0.3636,32.0,0.3333,-0.1111,0.0,,,12.0,2.0000,-0.2500,0.0,,-1.0000,752269.0000,-0.1239,-0.0768,78.0,1.4375,0.2381,0.0000,0.0000,-0.7500
201804,22039,"Fairfax Station, VA",Single Family Home,,840000.000000,-0.0400,-0.0401,111.0,0.3620,0.4800,33.00,0.0820,0.1000,60.0,0.3043,0.1538,4.0,,,20.0,1.0000,0.2500,0.0,,-1.0000,914552.0000,-0.0225,-0.0404,111.0,0.3620,-0.0263,0.0000,0.0000,-0.5200
201804,22041,"Falls Church, VA",Single Family Home,,700360.000000,0.0299,-0.1245,24.0,0.7143,0.7143,24.00,-0.0303,-0.3514,12.0,0.5000,2.0000,0.0,,,0.0,-1.0000,-1.0000,0.0,,-1.0000,741301.0000,0.0135,-0.0702,24.0,0.7143,0.3333,0.0000,0.0000,-0.2857
201804,22042,"Falls Church, VA",Single Family Home,,607550.000000,-0.0614,-0.0596,60.0,0.1321,0.0909,24.50,0.0538,-0.0200,48.0,0.2000,-0.0769,0.0,,,12.0,0.5000,-0.5000,0.0,,-1.0000,712143.0000,-0.0472,-0.0335,60.0,0.1321,-0.2593,0.0000,0.0000,-0.4727
201804,22043,"Falls Church, VA",Single Family Home,,1134050.000000,-0.0328,0.0648,64.0,0.4222,0.7297,30.00,-0.2941,0.0345,32.0,0.4545,0.3333,4.0,,,8.0,1.0000,0.0000,0.0,,-1.0000,1082046.0000,-0.0395,0.0617,64.0,0.4222,0.2075,0.0000,0.0000,-0.4324
201804,22044,"Falls Church, VA",Single Family Home,*,995050.000000,0.0937,0.1916,24.0,0.1163,0.6000,53.50,-0.4663,,8.0,0.0000,0.0000,0.0,-1.0000,,4.0,1.0000,0.0000,0.0,,-1.0000,1020481.0000,0.0281,-0.0042,24.0,0.1163,0.2000,0.0000,0.0000,-0.3333
201804,22046,"Falls Church, VA",Single Family Home,*,999950.000000,-0.1748,,43.0,0.3231,,25.00,-0.2481,,36.0,0.8000,0.5000,0.0,,,8.0,1.0000,0.0000,0.0,,-1.0000,1044634.0000,-0.0300,-0.0295,43.0,0.3231,-0.1400,0.0000,0.0000,-0.8519
201804,22066,"Great Falls, VA",Single Family Home,*,1399050.000000,-0.0181,-0.1178,165.0,0.0749,,48.50,0.0319,-0.3938,60.0,-0.0323,0.0714,0.0,,,36.0,0.2857,0.8000,1.0,0.0000,-0.9714,1736736.0000,0.0229,-0.0733,166.0,0.0744,-0.1123,0.0061,-0.0005,-0.2242
201804,22079,"Lorton, VA",Single Family Home,*,654040.000000,-0.1599,,95.0,0.4844,,32.00,0.2190,,48.0,0.2632,0.7143,0.0,,-1.0000,16.0,1.0000,0.0000,0.0,,-1.0000,804921.0000,-0.1437,-0.1650,95.0,0.4844,-0.0206,0.0000,0.0000,-0.4478
201804,22101,"McLean, VA",Single Family Home,,1636550.000000,-0.0252,-0.0230,185.0,0.2937,0.1491,39.00,-0.0370,-0.1789,84.0,0.7500,0.1053,0.0,,,28.0,0.0769,-0.2222,0.0,,-1.0000,2224672.0000,-0.0531,0.0169,185.0,0.2937,-0.0887,0.0000,0.0000,-0.2609
201804,22102,"McLean, VA",Single Family Home,*,1785050.000000,-0.0900,-0.1868,113.0,0.4395,0.3452,45.00,-0.6087,,32.0,0.2308,0.1429,0.0,,,20.0,1.5000,0.6667,0.0,,-1.0000,2385207.0000,-0.0620,-0.0726,113.0,0.4395,0.2283,0.0000,0.0000,-0.0952
201804,22124,"Oakton, VA",Single Family Home,*,1049050.000000,-0.0127,-0.1026,76.0,0.6000,0.0704,24.50,-0.1967,,40.0,0.2500,0.1111,0.0,,,24.0,3.0000,0.2000,0.0,,-1.0000,1145721.0000,-0.0098,-0.1159,76.0,0.6000,-0.1915,0.0000,0.0000,-0.3239
201804,22150,"Springfield, VA",Single Family Home,*,489950.000000,-0.0533,,51.0,0.5938,,21.50,-0.1224,,36.0,1.0000,2.0000,0.0,,,12.0,0.5000,0.0000,0.0,,-1.0000,555256.0000,-0.0477,-0.0522,51.0,0.5938,0.7586,0.0000,0.0000,-1.0714
201804,22151,"Springfield, VA",Single Family Home,*,537500.000000,-0.0170,-0.0813,26.0,0.1556,,18.00,-0.2727,-0.4194,24.0,2.0000,0.2000,4.0,,,4.0,-0.3333,-0.5000,0.0,,-1.0000,588143.0000,-0.0234,-0.1638,26.0,0.1556,-0.2778,0.0000,0.0000,-0.5652
201804,22152,"Springfield, VA",Single Family Home,*,537300.000000,-0.0971,,54.0,1.1600,,17.00,-0.3704,,36.0,1.0000,0.1250,0.0,,,4.0,-0.5000,0.0000,0.0,,-1.0000,581056.0000,-0.0569,-0.0381,54.0,1.1600,0.4595,0.0000,0.0000,-1.1765
201804,22153,"Springfield, VA",Single Family Home,*,550049.000000,-0.0787,-0.1791,81.0,1.0506,,18.00,-0.0137,-0.1818,60.0,0.8750,0.6667,0.0,,,12.0,2.0000,0.0000,0.0,,-1.0000,601553.0000,-0.0393,-0.1376,81.0,1.0506,-0.0471,0.0000,0.0000,-1.0238
201804,22172,"Triangle, VA",Single Family Home,*,465045.000000,-0.0211,,43.0,0.2113,,41.00,-0.0629,,24.0,0.7143,0.2000,0.0,,,12.0,,0.5000,0.0,,-1.0000,446173.0000,-0.0325,-0.0221,43.0,0.2113,0.1944,0.0000,0.0000,-0.3333
201804,22180,"Vienna, VA",Single Family Home,*,1245950.000000,-0.0276,,87.0,0.2794,,38.00,-0.2762,,40.0,0.5385,0.0000,0.0,-1.0000,,20.0,1.0000,0.6667,0.0,,-1.0000,1170775.0000,-0.0372,-0.1010,87.0,0.2794,-0.1471,0.0000,0.0000,-0.5692
201804,22181,"Vienna, VA",Single Family Home,*,925050.000000,-0.1075,-0.1533,48.0,0.2800,,38.00,0.0133,-0.1556,20.0,0.4286,0.2500,0.0,,,12.0,1.0000,2.0000,0.0,,-1.0000,1245607.0000,-0.0676,-0.0286,48.0,0.2800,-0.2000,0.0000,0.0000,-0.5000
201804,22182,"Vienna, VA",Single Family Home,*,1094550.000000,0.0762,-0.0005,87.0,0.1600,,31.00,0.2917,0.2400,48.0,0.3333,0.2000,4.0,,,24.0,1.0000,2.0000,0.0,,-1.0000,1994599.0000,0.6666,0.6873,87.0,0.1600,-0.1300,0.0000,0.0000,-0.5152
201804,22191,"Woodbridge, VA",Single Family Home,*,400050.000000,-0.0475,,126.0,0.7872,,25.00,-0.1071,,76.0,1.5333,0.9000,4.0,1.0000,0.0000,32.0,0.4545,1.0000,0.0,,-1.0000,414529.0000,-0.0358,-0.0749,126.0,0.7872,0.5181,0.0000,0.0000,-1.0244
201804,22192,"Woodbridge, VA",Single Family Home,*,412500.000000,-0.1826,,173.0,0.7653,,26.00,-0.1333,,108.0,0.6875,0.5000,12.0,5.0000,,32.0,3.0000,0.3333,0.0,,-1.0000,509769.0000,-0.1163,-0.1234,173.0,0.7653,0.5727,0.0000,0.0000,-0.5278
201804,22193,"Woodbridge, VA",Single Family Home,*,360000.000000,-0.0922,,181.0,0.4715,,24.00,-0.0680,,136.0,0.4783,0.5455,8.0,1.0000,1.0000,48.0,1.4000,1.0000,0.0,,-1.0000,401513.0000,-0.0512,-0.0744,181.0,0.4715,0.1830,0.0000,0.0000,-1.0132
201804,22201,"Arlington, VA",Single Family Home,,1337550.000000,-0.0492,0.0296,38.0,0.3333,1.0000,30.00,0.2371,-0.0625,24.0,0.5000,2.0000,0.0,,,8.0,1.0000,0.0000,0.0,,-1.0000,1394603.0000,-0.0349,-0.0053,38.0,0.3333,0.3571,0.0000,0.0000,-0.4737
201804,22202,"Arlington, VA",Single Family Home,,969050.000000,0.0270,-0.2540,15.0,0.2500,0.2500,23.00,-0.5534,-0.3235,12.0,1.0000,0.5000,0.0,,,0.0,-1.0000,-1.0000,0.0,,-1.0000,975702.0000,-0.0321,-0.3052,15.0,0.2500,-0.1667,0.0000,0.0000,-0.5000
201804,22203,"Arlington, VA",Single Family Home,*,959950.000000,0.0280,-0.1523,18.0,-0.0270,,35.00,1.0000,-0.1566,8.0,-0.2000,1.0000,0.0,,,4.0,0.0000,,0.0,,-1.0000,1145250.0000,0.0060,-0.0626,18.0,-0.0270,0.5000,0.0000,0.0000,-1.0000
201804,22204,"Arlington, VA",Single Family Home,*,694050.000000,-0.1039,,52.0,0.5758,,26.00,-0.1613,,32.0,0.6000,0.3333,0.0,,,8.0,0.0000,-0.6000,0.0,,-1.0000,739980.0000,-0.0873,-0.0850,52.0,0.5758,0.0400,0.0000,0.0000,-0.3889
201804,22205,"Arlington, VA",Single Family Home,*,1145050.000000,-0.0193,-0.0458,39.0,0.1143,0.3929,35.50,0.4059,,28.0,0.2727,0.1667,0.0,,,4.0,-0.5000,,0.0,,-1.0000,1190629.0000,0.0028,-0.0074,39.0,0.1143,-0.0250,0.0000,0.0000,-0.4286
201804,22206,"Arlington, VA",Single Family Home,*,575050.000000,-0.3391,-0.2987,3.0,0.5000,,20.00,-0.7101,-0.1667,0.0,,,0.0,,,0.0,,,0.0,,,706136.0000,-0.2449,-0.1366,3.0,0.5000,0.0000,0.0000,0.0000,0.0000
201804,22207,"Arlington, VA",Single Family Home,,1350050.000000,-0.0196,-0.1205,128.0,0.1034,0.1963,38.00,0.1783,0.0857,56.0,-0.0667,-0.2632,0.0,,,28.0,0.4000,0.1667,0.0,,-1.0000,1440970.0000,-0.0137,-0.0466,128.0,0.1034,-0.0922,0.0000,0.0000,-0.3178
201804,22209,"Arlington, VA",Single Family Home,,1237550.000000,-0.1938,-0.4499,6.0,2.0000,2.0000,211.50,-0.3610,2.4959,0.0,,,0.0,,,0.0,,,0.0,,,1618098.0000,0.0541,-0.2689,6.0,2.0000,2.0000,0.0000,0.0000,0.0000
201804,22301,"Alexandria, VA",Single Family Home,*,964050.000000,-0.1374,-0.1689,21.0,0.5556,,24.00,-0.5200,-0.4146,12.0,5.0000,0.0000,0.0,,,4.0,0.0000,-0.5000,0.0,,-1.0000,1043140.0000,-0.0768,-0.1212,21.0,0.5556,-0.3226,0.0000,0.0000,-0.4762
